Term	Notes	English	Ukrainian
card_olive_oil_status_0		Making Olive Oil	Виготовлення оливкової олії
card_olive_pulp_description		A slurry of olives	Суспензія з оливок
card_olive_pulp_name		Olive Pulp	Оливкова каша
card_olive_pulp_status_0		Stomping Olives	Топкання оливок
card_olive_tree_description		Can grow as old as 3,500 years	Може досягати віку 3500 років
card_olive_tree_name		Olive Tree	Оливове дерево
card_olive_tree_status		Harvesting Olives	Збір оливок
card_outhouse_description		Use it to get rid of Poop	Використовуйте його, щоб позбутися какашок
card_outhouse_name		Outhouse	Флігель
card_outhouse_remove_poop		Getting rid of Poop	Позбавлення від какашок
card_outhouse_status_0		Building an Outhouse	Будівництво флігеля
card_oven_description		Used to bake all sorts of things	Використовується для випікання різних речей
card_oven_name		Oven	Піч
card_painting_description		A drawing of a French Villager	Малюнок селянина-француза
card_painting_name		Painting	Картина
card_painting_status_0		Creating a Painting	Створення картини
card_pancakes_description		A big stack!	Велика стопка!
card_pancakes_name		Pancakes	Млинці
card_pancakes_status_0		Making Pancakes	Приготування млинців
card_paper_description		Wet wood, thinly-sliced	Тонко нарізана мокра деревина
card_paper_name		Paper	Папір
card_paper_status_0		Making Paper	Виготовлення паперу
card_petting_zoo_description		Generates Happiness for every Animal on top of it	Виробляє щастя за кожну тварину на ньому
card_petting_zoo_name		Petting Zoo	Контактний зоопарк
card_petting_zoo_status_0		Building a Petting Zoo	Будівництво контактного зоопарку
card_petting_zoo_status_active		Petting Animals	Пестіння тварин
card_pizza_description		Hell yeah	В біса так
card_pizza_name		Pizza	Піца
card_pizza_status_0		Making Pizza	Приготування піци
card_plague_mask_description		You can't get Sick	Ви не можете хворіти
card_plague_mask_name		Plague Mask	Чумна маска
card_plague_mask_status_0		Making a Plague Mask	Виготовлення чумної маски
card_poop_cant_sell		You can't sell Poop when the Curse of Death is active	Ви не можете продавати какашки, коли активне прокляття смерті
card_poop_slime_description		Slime made of Poop	Слиз із какашок
card_poop_slime_name		Poop Slime	Какашковий слиз
card_possessed_blade_description		Makes its wielder feel uneasy	Змушує його власника почуватися незручно
card_possessed_blade_name		Possessed Blade	Одержимий клинок
card_puppy_description		It's adorable	Це чарівно
card_puppy_name		Puppy	Цуцик
card_rag_description		Ill-fitted piece of cotton	Iii-встановлені шматки бавовни
card_rag_name		Rag	Ганчірка
card_roasted_fish_description		Browned nicely	Гарно підрум'янилися
card_roasted_fish_name		Fried Fish	Смажена риба
card_roasted_fish_status_0		Frying Fish	Смаження риби
card_roasted_meat_description		Crunchy on the outside	Хрусткий зовні
card_roasted_meat_name		Fried Meat	Смажене м'ясо
card_roasted_meat_status_0		Frying Meat	Смаження м'яса
card_royal_archer_description		Trained on the castle grounds	Тренувалися на території замку
card_royal_archer_name		Royal Archer	Королівський лучник
card_royal_banquet_description		Some very tasty foods combined	Деякі дуже смачні продукти в поєднанні
card_royal_banquet_name		Royal Banquet	Королівський бенкет
card_royal_banquet_status_0		Preparing a Royal Banquet	Підготовка королівського банкету
card_royal_crown_description		Gives you strength and makes you greedy	Додає сили та робить жадібним
card_royal_crown_name		Royal Crown	Королівська корона
card_royal_description	nog even over nadenken	A spoiled brat	Розпещений нахаба
card_royal_description_demand_2		He demands that you bring him a Dragon Egg. Come back to him when you have it. 	Він вимагає, щоб ви принесли йому яйце дракона. Поверніться до нього, коли матимете це. 
card_royal_guard_description		Will give their life for the Royal	Віддасть життя за Короля
card_royal_guard_name		Royal Guard	Королівський вартовий
card_royal_mage_description		A noble wizard	Благородний чарівник
card_royal_mage_name		Royal Mage	Королівський маг
card_royal_name		Royal	Король
card_royal_tunic_description		Looking fancy on the battlefield	Має чудовий вигляд на полі бою
card_royal_tunic_name		Guard's Tunic	Мундир вартового
card_ruins_description		An ancient place. Requires [required_count] Villagers to explore.	Давнє місце. Для дослідження потрібно [required_count] селян.
card_ruins_name		Ruins	Руїни
card_ruins_status		Exploring Ruins	Дослідження руїн
card_sadness_demon_description		It was created by your Villagers' sadness	Його створив смуток твоїх селян
card_sadness_demon_name		Demon of Sadness	Демон смутку
card_scythe_description		Useful for farming and chopping down monsters	Корисна для ферми та рубання монстрів
card_scythe_name		Scythe	Коса
card_scythe_status_0		Making a Scythe	Виготовлення коси
card_sewer_description		Automatically attracts Poop	Автоматично притягує лайно
card_sewer_name		Sewer	Каналізація
card_sewer_status_0		Building a Sewer	Будівництво каналізації
card_shaman_description		Talks to spirits	Розмовляє з духами
card_shaman_name		Shaman	Шаман
card_shaman_status		Chanting	Скандування
card_spirit_status_1		Leaving Spirit World	Залишаючи світ духів
card_spring_description		A water source. Can also be used to fill Empty Bottles	Джерело води. Також можна використовувати для наповнення порожніх пляшок
card_spring_name		Spring	Струмок
card_squire_description		He carries your shield	Він несе ваш щит
card_squire_name		Squire	Зброєносець
card_squire_tunic_description		For wannabe knights	Для бажаючих бути лицарями
card_squire_tunic_name		Squire Tunic	Туніка зброєносця
card_squire_tunic_status_0		Creating a Squire Tunic	Створення туніки зброєносця
card_stomping_vat_description		Wash your feet first	Спочатку вимийте ноги
card_stomping_vat_name		Stomping Vat	Чавильний чан
card_stomping_vat_status_0		Building a Stomping Vat	Будівництво чавильного чана
card_tavern_description		Turns Food into Happiness	Перетворює їжу на щастя
card_tavern_name		Tavern	Таверна
card_tavern_status_0		Serving Food	Подавання їжі
card_teenage_villager_description		The world right at your feet	Світ у ваших ніг
card_teenage_villager_name		Young Villager	Молодий селянин
card_throwing_tomatos_description		The crowd did not like it	Натовпу це не сподобалося
card_throwing_tomatos_name		Tomatoes	Помідори
card_throwing_tomatos_status_0		Making Tomatoes	Створення помідорів
card_tomato_description		Red, round and fun to throw	Червоний, круглий та його весело кидати
card_tomato_name		Tomato	Помідор
card_tomato_plant_description		Only eat the red parts	Їжте тільки червоні частини
card_tomato_plant_name		Tomato Plant	Помідорний кущ
card_tomato_plant_status		Picking Tomatoes	Вирощування помідорів
card_unhappiness_description		Makes Villagers sad##You need 1 extra Happiness for every Sadness card you have	Засмучує мешканців села##Вам потрібна 1 додаткова карта щастя для кожної вашої картки печалю
card_unhappiness_name		Sadness	Смуток
card_university_description		A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them.	Місце мудрості. Дає вам нову ідею за кожні [max_count] монети, які ви їм подаруєте.
card_water_description		Wet liquid	Мокра рідина
card_water_name		Water	Вода
card_water_status_0		Getting Water	Отримання води
card_wheat_description		It's grass for humans, but heaven for animals	Це трава для людей, але рай для тварин
card_wheat_name		Wheat	Пшениця
card_whip_description		Melee or ranged? Who knows	Ближнього чи дальнього бою? Хтозна
card_whip_name		Whip	Батіг
card_wine_description		This grape juice is making me feel funny	Цей виноградний сік змушує мене почуватися веселим
card_wine_name		Wine	Вино
card_wine_status_0		Making Wine	Виробництво вина
card_winter_coat_description		Wonderful in winter	Чудово взимку
card_winter_coat_name		Winter Coat	Зимове пальто
card_winter_coat_status_0		Making Winter Coat	Виготовлення зимового пальта
card_wishing_well_description		It grants you a wish for every [count] coins.	Він виконує бажання за кожні [count] монет.
card_wool_dress_description		A dress to impress	Вбрання для враження
card_wool_dress_name		Fancy Dress	Нарядна сукня
card_wool_dress_status_0		Making a Fancy Dress	Створення нарядної сукні
card_wool_socks_description		They have small cat paws on!	На них маленькі котячі лапки!
card_wool_socks_name		Purple Socks	Фіолетові шкарпетки
card_wool_socks_status_0		Making Purple Socks	Виготовлення фіолетових шкарпеток
cardtype_happiness		Happiness	Щастя
cardtype_spirits		Spirits & Curses	Духи та прокляття
credits_cyber		Modding support	Підтримка модифікацій
cursetype_death		Death	Смерть
cursetype_greed		Greed	Жадібність
cursetype_happiness		Happiness	Щастя
cutscene_death_end_text_0		I see you unlocked a new pack!	Я бачу, ви розблокували новий пакет!
cutscene_death_end_text_1		I heard that this pack contains the fix for my curse	Я чув, що у цьому пакеті є зцілення мого прокляття
cutscene_death_middle_text_0		Looks like a Villager died of old age	Схоже, селянин помер від старості
cutscene_death_middle_text_1		It's always sad to see it happen. He is safe with me.	Завжди сумно спостерігати за цим. Він у безпеці зі мною.
cutscene_death_middle_text_2		Be sure to get some new Villagers before they all die	Обов’язково знайдіть нових селян, перш ніж вони всі помруть
cutscene_greed_end_text_0		A Dragon Egg? I hope he's ready for what's about to come	Драконяче яйце? Сподіваюся, він готовий до того, що має відбутися
cutscene_greed_middle_text_0		This Greedy Royal thinks he can demand everything...	Цей жадібний король думає, що може вимагати все...
cutscene_greed_middle_text_1		I'm sure his demands will soon be his downfall	Я впевнений, що його вимоги скоро приведуть до його падіння
cutscene_happiness_end_text_0		I found a way to get rid of the curse	Я знайшов спосіб позбутися прокляття
cutscene_happiness_end_text_1		Combine 3 Euphoria with the Curse of Sadness	Поєднайте 3 ейфорії із прокляттям смутку
cutscene_happiness_end_text_2		Here is the Idea for it	Ось ідея для цього
cutscene_happiness_middle_text_1		If we get more Happiness, we might be able to lift the Curse of Sadness	Якщо ми отримаємо більше щастя, ми зможемо зняти прокляття смутку
demand_fancy_dress_start_text		I am going to give this dress to a very pretty person!	Я збираюся подарувати цю сукню дуже гарній людині!
demand_fancy_dress_success_text		The dress was a perfect gift, she loved it! I always have the greatest ideas!	Сукня була ідеальним подарунком, їй сподобалося! У мене завжди найкращі ідеї!
greed_quest_demand_description_not_found		My Royal Advisor will instruct you on how to get what I need	Мій королівський радник розповість вам, як отримати те, що мені потрібно
greed_quest_demand_failed		You have not fulfilled my demands!	Ви не виконали моїх вимог!
greed_quest_demand_failed_2		What is this? You have not provided me with what I requested	Що це? Це не те, що я просив
greed_quest_demand_failed_3		My request was very specific, but I do not see the goods	Мій запит був дуже конкретний, але я не бачу товару
greed_quest_demand_success		Thanks. I didn't know you had it in you	Дякую. Я не знав, що ти маєш це з собою
greed_quest_demand_success_2		Ah, exactly what I needed...	Ах, саме те, що мені було потрібно...
greed_quest_demand_success_3		Delightful! Just what I ordered	Чудесно! Саме те, що я замовляв
greed_quest_demand_title		The Royal Demands!	Король вимагає!
idea_altar_status_0		Building an Altar	Будівництво вівтаря
idea_death_curse_fix_description		Lifts the Curse of Death	Знімає прокляття смерті
idea_death_curse_fix_name		Lift the Curse of Death	Зняти прокляття смерті
idea_death_curse_fix_status_0		Lifting Curse of Death	Зняття прокляття смерті
idea_flour_mill_status_0		Building a Flour Mill	Будівництво млина
idea_flour_status_0		Grinding Wheat	Мелення пшениці
idea_greed_curse_fix_description		Lifts the Curse of Greed	Знімає прокляття жадібності
idea_greed_curse_fix_name		Lift the Curse of Greed	Зняття прокляття жадібності
idea_greed_curse_fix_status_0		Lifting Curse of Greed	Зняття прокляття жадібності
idea_growth_status_13		Growing Wheat	Вирощування пшениці
idea_growth_status_14		Growing Grape Vine	Вирощування виноградної лози
idea_growth_status_15		Growing Olive Tree	Вирощування оливкового дерева
idea_growth_status_16		Growing Tomato Plant	Вирощування томатів
idea_growth_status_17		Growing Tree	Вирощування дерева
idea_growth_status_18		Growing Herbs	Вирощування трав
idea_happiness_curse_fix_description		Lifts the Curse of Sadness	Знімає прокляття смутку
idea_happiness_curse_fix_name		Lift Curse	Зніміть прокляття
idea_happiness_curse_fix_status_0		Lifting Curse of Sadness	Зняття прокляття смутку
idea_happiness_description		A quick and dirty way of getting Happiness	Швидкий і брудний спосіб отримати щастя
idea_happiness_name		Happiness	Щастя
idea_happiness_result		A quick and dirty way of getting Happiness	Швидкий і брудний спосіб отримати щастя
idea_happiness_status_0		Admiring Coins	Милуючись монетами
idea_happiness_status_1		Reading Book	Читаючи книгу
idea_offspring_status_2		Creating a Kitten	Створення кошеня
idea_oven_status_0		Building an Oven	Будівництво печі
idea_remove_happiness			
idea_tavern_status_0		Building a Tavern	Будівництво таверни
idea_unhappiness_status_0		Making Villager sad	Засмучувати селянина
ideagroup_death		Death	Смерті
ideagroup_greed		Greed	Жадібні
ideagroup_happiness		Happiness	Щастя
label_advanced_combat		In Game Combat Stats: [on_off]	Статистика бойових дій у грі: [on_off]
label_advanced_settings		Advanced Options	Розширені опції
label_age_villagers		Happy birthday!	З днем народження!
label_altar_cutscene_help_false		Ignore them	Ігноруйте їх
label_altar_cutscene_help_spirit_false		Please summon me again when you can help me	Будь ласка, поклич мене знову, коли зможеш мені допомогти
label_altar_cutscene_help_spirit_true		Thank you! Follow me to my world	Дякую тобі! Йди за мною в мій світ
label_altar_cutscene_help_true		Help them out	Допоможіть їм
label_altar_cutscene_text		I'm the [spirit]. Can you help me in my world?	Я [spirit]. Чи можете ви допомогти мені в моєму світі?
label_altar_cutscene_title		The Altar starts to rumble..	Вівтар починає гриміти..
label_angry_villager		One of your Villagers became angry!	Один із ваших селян розлютився!
label_beat_curse_to_unlock		Lift this curse to start a new run with it enabled	Зніміть це прокляття, щоб почати новий запуск із його активацією
label_buy_dlc_steam		Buy on Steam	Придбати в Steam
label_cardopedia_all		All Cards	Усі картки
label_cardopedia_forest		Dark Forest	Темний ліс
label_cardopedia_island		The Island	Острів
label_cardopedia_main		Original	Оригінальні
label_cardopedia_modded		Mods	З модифікації
label_cardopedia_order		Order & Structure	Порядок і структура
label_cardopedia_spirit		Cursed Worlds	Прокляті світи
label_change_board_disabled_text		You can't change worlds in the Spirit World	Ви не можете змінити світи у світі духів
label_change_board_disabled_title		Travel disabled	Поїздка вимкнена
label_clicktodrag_enabled		Easy dragging	Легке перетягування
label_clicktodrag_tooltip		Allows you to drag cards with a right click.#Right click once to start dragging and right click again to stop dragging.	Дозволяє перетягувати картки клацанням правою кнопкою миші.#Щоб почати перетягування, клацніть правою кнопкою миші один раз, щоб припинити перетягування, клацніть правою кнопкою миші ще раз.
label_death_intro_1		Welcome to the World of Death	Ласкаво просимо до світу смерті
label_death_intro_2		Every few moons, our Villagers grow up	Кожні кілька днів селяни підростають
label_death_intro_3		After turning old, we pass away..	Постарівши, ми йдемо з життя..
label_death_intro_4		We can also get sick, if there's too much poop around	Ми також можемо захворіти, якщо навколо занадто багато какашок
label_death_intro_5		Can you lift our curse?	Ти можеш зняти наше прокляття?
label_death_intro_title		Cursed by Death?	Проклятий смертю?
label_demand_collected		Off you go	Йди
label_demand_collected_2		I see! Off you go	Розумію! Йди
label_demand_complete_start		Time to collect! I hope you have everything!	Час збирати! Сподіваюся, у вас все є!
label_enable_curse_unknown		Curse of ???: Off	Прокляття ???: Вимкнено
label_enable_death_curse		Curse of Death: [on_off]	Прокляття смерті: [on_off]
label_enable_greed_curse		Curse of Greed: [on_off]	Прокляття жадібності: [on_off]
label_enable_happiness_curse		Curse of Sadness: [on_off]	Прокляття смутку: [on_off]
label_enabled_curses		Enabled Curses	Увімкнені прокляття
label_everyone_angry		Your whole village became angry!	Все ваше село розлючене!
label_everyone_spirit_world_dead		Everyone in the Spirit World died	Кожен у світі духа мертвий
label_everyone_spirit_world_dead_text		Returning to the Altar	Повернення до вівтаря
label_everyone_spirit_world_dead_text_retry		You can revisit this Spirit World by using the Altar	Ви можете повернутися до цього світу духів, використавши вівтар
label_final_demand_end_text		I was doubtful you would get me the Dragon Egg, but here you are!	Я сумнівався, що ти дістанеш мені драконяче яйце, але ось ти тут!
label_final_demand_end_text_2		*A crack starts to appear in the shell*	*На оболонці починає з’являтися тріщина*
label_final_demand_end_text_3		What's this? A crack in MY Dragon Egg? Get me a new one right away!	Що це? Тріщина в моєму драконячому яйці? Негайно дай мені нове!
label_final_demand_end_text_4		The egg cracks again...	Яйце знову тріскає...
label_final_demand_end_text_5		Shame on you...	Ганьба тобі...
label_final_demand_end_text_6		The egg breaks open!	Яйце вилуплюється!
label_final_demand_end_text_7		It's a dragon!	Це дракон!
label_final_demand_end_text_8		With one big swing the dragon takes out the Royal	Одним великим помахом дракон убиває Короля
label_final_demand_merchant		A Merchant appeared	З'явився торговець
label_final_demand_text		I have everything, but it's not enough...	У мене є всі, але цього не достатньо...
label_final_demand_text_2		I want more food, more entertainment and more valuables!	Я хочу більше їжі, більше розваг і більше цінностей!
label_final_demand_text_3		A dear friend of mine got a Phoenix Egg for his birthday... I want something better!	Мій дорогий друг отримав яйце фенікса на день народження... Я хочу чогось кращого!
label_final_demand_text_4		There is a Merchant in town, and he's selling a Dragon Egg! Get it for me!	У місті є торговець, і він продає драконяче яйце! Отримай його для мене!
label_forest_update		The Dark Forest	Темний ліс
label_fountain_text		The fountain prevented your Villagers from aging	Фонтан не дав вашим селянам старіти
label_fountain_title		Fountain of Youth	Фонтан молодості
label_giving_happiness	nog over nadenken	Giving Happiness...	Дарувати щастя...
label_greed_demand_failed_fight		I'll have to teach you a lesson... Guards!!	Доведеться провчити вас... Охорона!!
label_greed_demand_failed_first_time		This is your first offence, so I will let it slide. Don't let it happen again!	Це ваше перше правопорушення, тому я замовчу це. Не дайте цьому повторитися!
label_greed_intro_1		Welcome to the World of Greed	Ласкаво просимо до світу жадібності
label_greed_intro_2		This is the Greedy Royal...	Це жадібний Король...
label_greed_intro_3		Starting next moon, he will demand everything his heart desires	Починаючи з наступного дня, він буде вимагати все, що його душа забажає
label_greed_intro_4		If you don't serve the Royal, he will send out his Royal Guards	Якщо ви не будете служити королю, він надішле свою королівську гвардію
label_greed_intro_5		Help me get rid of him to lift our curse!	Допоможіть мені позбутися його, щоб зняти наше прокляття!
label_greed_intro_title		World of Greed	Світ жадібності
label_greed_lift_curse		Luckily, the Dragon did not eat the Royal Crown	На щастя, дракон не з'їв королівську корону
label_greed_lift_curse_2		The Royal Crown is the most valuable item in the whole world...	Королівська корона - найцінніший предмет у всьому світі...
label_greed_lift_curse_3		However, you can't lift the curse without the Royal Crown..	Однак ви не можете зняти прокляття без королівської корони..
label_greed_lift_curse_kill_royal		Wow, you managed to kill the Royal and he dropped his crown!	Ого, тобі вдалося вбити короля, і він упустив свою корону!
label_greed_new_villager		You are working too slow for my liking...	Ти працюєш занадто повільно, щоб мені сподобалося...
label_greed_new_villager_2		Here is some extra help... Now off you go!	Ось додаткова допомога... Тепер вирушайте!
label_greed_outro_wear_crown		You can't wear the Royal Crown, I won't allow it	Ви не можете носити королівську корону, я не дозволю
label_happiness_infobox		At the end of the moon, you will need [required_happiness_count] [happinessicon] to keep your Villagers happy.	Наприкінці дня вам знадобиться [required_happiness_count] [happinessicon], щоб ваші селяни були щасливими.
label_happiness_infobox_warning		Get [happinessicon] so their demons won't appear!	Отримайте [happinessicon], щоб їхні демони не з’явилися!
label_happiness_intro_1		Welcome to the World of Sadness	Ласкаво просимо у світ смутку
label_happiness_intro_2		Every moon, our Villagers need Happiness	Кожного дня селянам потрібне щастя
label_happiness_intro_3		Different actions will give them Happiness	Різні дії принесуть їм щастя
label_happiness_intro_4		If Villagers don't get enough Happiness, their demons will appear	Якщо жителі села не отримають достатньо щастя, з’являться їхні демони
label_happiness_intro_5		Can you lift our curse?	Можеш зняти наше прокляття?
label_happiness_intro_title		World of Sadness	Світ смутку
label_happiness_return_0		Do you want to return to the Mainland?	Ви хочете повернутися на материк?
label_happiness_warning		You need [count] Happiness by the end of the next moon!	Вам потрібно [count] щастя до кінця наступного дня!
label_island_update		The Island	Острів
label_its_the_spirit		It's the spirit!	Це дух!
label_magic_lore		Channels a greater power	Надає більшу силу
label_magic_title		Magic Attack	Магічна атака
label_main_game		Original	Оригінал
label_melee_lore		Close and personal	Близьке і особисте
label_melee_title		Melee Attack	Ближній бій
label_menu_spirit_title		Cursed Worlds	Прокляті світи
label_menu_spirit_title_locked		Cursed Worlds out now!	Прокляті світи геть!
label_missing_cards_text		The following cards in the run could not be loaded, likely due to a missing mod: [missing].##Would you like to continue the run anyway? Some cards may be missing.	Наступні картки в забігу не вдалося завантажити, ймовірно, через відсутність мода: [missing].##Ви все одно хочете продовжити? Деякі картки можуть бути відсутніми.
label_missing_cards_title		Missing Cards	Відсутні картки
label_mod_update_type		Modded Card	З модифікації
label_mods		Mods	Моди
label_mods_enable_title		Toggle Mods	Перемикання модів
label_name_villager_text		Don't get too attached!	Не дуже прив’язуйтеся!
label_new_villager		A new Villlager	Новий селянин
label_new_villager_death		A lonely Villager decided to settle in your village	Одинокий житель села вирішив оселитися у вашому селі
label_new_villager_happiness		A new Villager heard about your happy village, and decided to settle here!	Новий селянин почув про ваше щасливе село і вирішив тут оселитися!
label_not_everyone_happy		Some Villagers did not get enough Happiness...	Деяким селянам не вистачало щастя...
label_open_workshop		Open Workshop	Відкрити Майстерню
label_random_name		Randomize	Рандомізувати
label_ranged_lore		Attack from a distance	Атака з відстані
label_ranged_title		Ranged Attack	Дальня атака
label_return_from_spirit_world_text		Are you sure you want to leave this Spirit World? The world will reset when you leave.	Ви впевнені, що хочете покинути цей світ духів? Світ перезавантажиться, коли ви підете.
label_return_from_spirit_world_title		Returning...	Повернення...
label_sadness_demon_text		You had too much Sadness!	У вас було забагато смутку!
label_sadness_demon_title		The Demon of Sadness appeared	З'явився демон смутку
label_screenshake_enabled		Screenshake enabled	Трясіння екрана увімкнено
label_shaman_appeared		A Shaman appeared out of nowhere	З нізвідки з'явився шаман
label_shaman_intro		Something feels off	Щось не так
label_shaman_leaving_text		The Shaman has told you everything he knows, and will leave this world	Шаман розповів тобі все, що знав, і покидає цей світ
label_shaman_leaving_title		The Shaman is leaving	Шаман йде
label_spirit_dlc_not_installed_text		Get access to the new content by purchasing the Cursed Worlds DLC	Отримайте доступ до нового вмісту, придбавши DLC Cursed Worlds
label_spirit_dlc_not_installed_title		The Cursed Worlds DLC	Доповнення «Прокляті світи»
label_spirit_outro_1		Thanks for helping us	Дякуємо за допомогу
label_spirit_outro_2		You may now return to your old world	Тепер ви можете повернутися у свій старий світ
label_spirit_outro_3		Place anything you want to bring back on top of me...	Покладіть на мене все, що хочете повернути...
label_spirit_outro_4		...and I'll bring you back	...і я поверну тебе
label_spirit_outro_choice_0		Continue here	Продовжити тут
label_spirit_outro_choice_1		Return to Mainland	Повернутися на материк
label_spirit_update		Spirit Update	Оновлення духа
label_time_infobox	Controls can now be rebound, so that the parameters will be replaced with the appropriate key	The current time. There's [time_left] left in this moon.##Use [action_time_pause] to pause or use [action_time_toggle] to toggle between game speeds	Поточний час. У цьому дні залишилося [time_left].##Використовуйте [action_time_pause], щоб призупинити, або використовуйте [action_time_toggle], щоб перемикати швидкість гри
label_try_attack_royal_description		Be careful...	Будьте обережні...
label_try_attack_royal_description_4		He won't be friendly forever...	Він не буде дружнім вічно...
label_try_attack_royal_description_8		Last warning!	Останнє попередження!
label_try_attack_royal_title		Anger the Royal	Розгніваний Король
label_update_text_spirit		Thanks for purchasing the Cursed Worlds DLC!##Travel to three different worlds where villagers are haunted by tricky curses! Build up their village, then use new cards and card packs to lift the curse!##<i>DLC content is accessible after having completed the game's first boss fight.<i>	Дякуємо, що придбали DLC «Cursed Worlds»!##Подорожуйте трьома різними світами, де жителів сіл переслідують хитрі прокляття! Побудуйте своє село, а потім використовуйте нові картки та набори карток, щоб зняти прокляття!##<i>Вміст DLC доступний після завершення першого бою з босом у грі.<i>
label_update_text_spirit_locked		We've just released the first Stacklands DLC! Travel to three different worlds, where villagers are haunted by tricky curses! Build up their village, then use new cards and card packs to lift the curse!##• 130+ new cards#• 50+ new quests#• 15 new card packs#• 3-5 hours of playtime 	Ми щойно випустили перше DLC Stacklands! Подорожуйте в три різні світи, де селян переслідують хитрі прокляття! Побудуйте своє село, а потім використовуйте нові картки та набори карток, щоб зняти прокляття!##• 130+ нових карт#• 50+ нових завдань#• 15 нових наборів карток#• 3-5 годин гри 
label_update_title_spirit		The Cursed Worlds	Прокляті світи
label_villager_age_birthday		Some villagers grew older	Деякі селяни постаріли
label_villager_age_description		<one>Age: 1 Moon<other>Age: [age] Moons	<one>Вік: 1 день<other>Вік: [age] днів
label_villager_food_poisoning		[villager] got food poisoning...	[селянин] отримав харчове отруєння...
label_villager_old		Old [villager]	Старий [villager]
label_villager_old_age_death		[villager] died of old age	[villager] помер від старості
label_villager_sick		[villager] got sick...	[villager] захворів...
label_villager_young		Young [villager]	Молодий [villager]
label_wow		Wow!	Вау!
pack_death_animals_text		Animal Lives	Життя тварин
pack_death_basic_text		Daily Life	Повсякденне життя
pack_death_ideas_1_text		Wisdom of Life	Життєва мудрість
pack_death_ideas_2_text		Deep Thoughts	Глибокі думки
pack_death_intro_text		Life Is Short	Життя коротке
pack_death_locations_text		The End	Кінець
pack_greed_basic1_text		Pure Greed	Чиста жадібність
pack_greed_food_creatures_text		Noble Creatures	Благородні створіння
pack_greed_ideas1_text		Royal Inventor	Королівський винахідник
pack_greed_ideas2_text		Courtyard Contraptions	Пристосування внутрішнього двора
pack_greed_intro_text		Greedy Intro	Жадібний вступ
pack_greed_luxuries_text		Royal Luxuries	Королівська розкіш
pack_happiness_creatures_text		Happy Animals	Щасливі тварини
pack_happiness_food_text		Soul Food	Їжа для душі
pack_happiness_ideas1_text		Happy Thoughts	Щасливі думки
pack_happiness_ideas2_text		Happy Ever After	Щасливі довіку
pack_happiness_intro_text		Happy Start	Щасливий старт
pack_happiness1_text		Simple Life	Просте життя
quest_3_succesfull_demands_text		Successfully finish 3 demands	Успішно виконати 3 вимоги
quest_5_succesfull_demands_text		Successfully finish 5 demands	Успішно виконати 5 вимог
quest_8_succesfull_demands_text		Successfully finish 8 demands	Успішно виконати 8 вимог
quest_create_altar_text		Talk to the Shaman to gain secret knowledge	Поговоріть з шаманом, щоб отримати таємні знання
quest_death_befriend_cat_text		Befriend a Cat	Потоваришувати з котом
quest_death_breed_cow_text		Breed a Cow	Розвести корову
quest_death_build_lumbercamp_text		Build a Lumber Camp	Побудувати лісозаготівельний табір
quest_death_build_outhouse_text		Build an Outhouse	Побудувати флігель
quest_death_create_fountain_of_youth_text		Build the Fountain of Youth	Побудувати фонтан молодості
quest_death_cure_sick_villager_text		Cure a Sick Villager	Вилікувати хворого селянина
quest_death_explore_ruins_text		Explore the Ruins	Дослідити руїни
quest_death_find_cure_text		Figure out how to lift the curse	Знайти спосіб зняти прокляття
quest_death_find_fix_text		Lift the Curse of Death	Зняти прокляття смерті
quest_death_have_3_cows_text		Have 3 Cows	Мати 3 корови
quest_death_have_3_poop_text		Have 3 Poop	Мати 3 лайна
quest_death_make_cheese_text		Make Cheese	Створити сир
quest_death_name_villager_text		Name a Villager	Назвати селянина
quest_death_second_villager_text		Get a second Villager	Отримати другого селянина
quest_death_third_villager_text		Make a baby before it's too late...	Народити дитину, поки не пізно...
quest_death_unlock_packs_text		Unlock All Packs	Розблокувати всі пакунки
quest_death_villager_old_age_dead_text		Have a Villager die of old age	Дати селянину померти від старості
quest_death_villager_old_text		Have an Old Villager	Мати старого селянина
quest_enter_death_world_text		Visit the World of Death	Відвідати світ смерті
quest_enter_greed_world_text		Visit the World of Greed	Відвідати світ жадібності
quest_enter_happiness_world_text		Visit the World of Sadness	Відвідати світ смутку
quest_fight_royal_guard_text		Fight the Royal Guards	Бийтеся з королівською гвардією
quest_find_death_world_text		Figure out how to summon the Spirit of Death	Придумайте, як викликати духа смерті
quest_find_greed_world_text		Figure out how to summon the Spirit of Greed	Придумайте, як викликати духа жадібності
quest_find_happiness_world_text		Figure out how to summon the Spirit of Sadness	Придумайте, як викликати духа смутку
quest_first_demand_text		Wait for the Royal's first demand	Очікувати на першу вимогу Короля
quest_get_grape_text		Harvest your first Grape	Зібрати свій перший виноград
quest_greed_brickyard_text		Build a Brickyard	Побудувати цегельний цех
quest_greed_find_fix_text		Lift the Curse of Greed	Зняти прокляття жадібності
quest_greed_garden_text		Build a Garden	Побудувати сад
quest_greed_lumbercamp_text		Build a Lumber Camp	Побудувати лісозаготівельний табір
quest_greed_mine_text		Build a Mine	Побудувати шахту
quest_greed_oak_barrel_text		Make a Barrel	Створити бочку
quest_greed_olive_oil_text		Make Olive Oil	Приготувати оливкову олію
quest_greed_quarry_text		Build a Quarry	Побудувати кар'єр
quest_greed_roasted_meat_text		Fry some Meat	Обсмажити м'ясо
