Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
label_happiness_infobox		At the end of the moon, you will need [required_happiness_count] [happinessicon] to keep your Villagers happy.	Aan het einde van de Maan heb je [required_happiness_count] [happinessicon] nodig om je Dorpelingen blij te houden.	À la fin de cette Lune, vous aurez besoin de [required_happiness_count] [happinessicon] pour préserver le Bonheur de vos Villageois.	Alla fine della Luna, avrai bisogno di [required_happiness_count] [happinessicon] per rendere felici i tuoi Abitanti.	Am Ende des Mondes wirst du [required_happiness_count] [happinessicon] benötigen, um deine Dorfbewohner glücklich zu machen.	Al final de la luna, necesitarás: [required_happiness_count] [happinessicon] para mantener felices a tus aldeanos.		Pod koniec miesiąca potrzebujesz [required_happiness_count] [happinessicon], aby twoi Wieśniacy byli szczęśliwi.	在月亮年结束的时候，你需要[required_happiness_count]点[happinessicon]来让你的村民保持快乐。	在月份結束時，你將需要[required_happiness_count] [happinessicon]以維持村民快樂。	月齢の終わり、村人の幸福を維持するために[happinessicon]が[required_happiness_count]枚必要だ。	달이 끝나는 시기에, 주민들을 행복하게 유지하려면 [required_happiness_count][happinessicon]이 필요하게 됩니다.
label_happiness_infobox_warning		Get [happinessicon] so their demons won't appear!	Haal [happinessicon] zodat hun demonen niet verschijnen!	Récupérez [happinessicon] pour repousser les démons !	Ottieni [happinessicon] in modo che i loro demoni non appaiano!	Beschaffe [happinessicon], damit ihre Dämonen nicht erscheinen!	¡Consigue: [happinessicon] para que no aparezcan sus demonios!		Zdobądź [happinessicon], aby nie pojawiły się ich Demony!	获得[happinessicon]，阻止恶魔的出现！	獲得[happinessicon]，這樣他們的惡魔就不會出現！	[happinessicon]をゲットすれば、村人の悪魔は表に出てこない！	[happinessicon]을 얻어 주민들의 악마가 나타나지 않게 하세요!
label_happiness_intro_1		"Welcome to the World of Sadness"	"Welkom in de Wereld van verdriet"	Bienvenue dans le Monde triste	"Ti do il benvenuto nel Mondo della Tristezza."	„Willkommen in der Welt der Traurigkeit.“	"Te damos la bienvenida al mundo de la tristeza"		„Witaj w Świecie Smutku”	“欢迎来到悲伤世界”	「歡迎來到悲傷的世界」	「悲しみの世界へようこそ」	"슬픔의 세계에 오신 것을 환영합니다"
label_happiness_intro_2		"Every moon, our Villagers need Happiness"	"Onze Dorpelingen hebben elke Maan Blijdschap nodig"	Toutes les Lunes, vos Villageois ont besoin de Bonheur	"Ogni Luna i nostri Abitanti hanno bisogno di Felicità."	„Jeden Mond benötigen unsere Dorfbewohner Glück.“	"Nuestros aldeanos necesitan felicidad en cada luna."		„Co miesiąc twoi Wieśniacy będą potrzebowali Szczęścia”	“我们的村民每个月亮年都需要获得幸福”	「每個月我們的村民需要快樂」	「月齢を迎えるたびに、この世界の村人は幸福を必要とする」	"주민들은 달마다 행복을 필요로 합니다"
label_happiness_intro_3		"Different actions will give them Happiness"	"Verschillende acties zorgen voor meer Blijdschap"	Différentes actions peuvent générer du Bonheur	"Diverse azioni gli daranno la Felicità."	„Verschiedene Aktionen verschaffen ihnen Glück.“	"Determinadas acciones les dará felicidad."		„Różne akcje zapewnią im Szczęście”	“不同的行动会为他们带来幸福”	「不同的行動會給予他們快樂」	「村人は様々な行動から幸福を感じる」	"다양한 행동이 주민에게 행복을 줄 것입니다"
label_happiness_intro_4		"If Villagers don't get enough Happiness, their demons will appear"	"Als Dorpelingen niet genoeg Blijdschap krijgen, komen hun Demonen naar boven"	Si les Villageois ne reçoivent pas suffisamment de Bonheur, des monstres apparaissent	"Se gli Abitanti non ottengono abbastanza Felicità, appariranno i loro Demoni."	„Wenn Dorfbewohner nicht genug Glück bekommen, erscheinen ihre Dämonen.“	"Si los aldeanos no consiguen suficiente felicidad, aparecerán sus demonios."		„Jeśli Wieśniacy nie będą mieli dość Szczęścia, pojawią się Demony”	“如果村民们没有足够的幸福，他们的恶魔就会出现”	「如果村民沒有獲得足夠的快樂，他們的惡魔會出現」	「村人に幸福が足りないと、彼らのデーモンが表に出てきてしまう」	"만약 주민이 충분한 행복을 얻지 못하면, 주민들의 악마가 나타날 겁니다"
label_happiness_intro_5		"Can you lift our curse?"	"Kun jij onze vloek verbreken?"	Pouvez-vous lever cette malédiction ?	"Puoi spezzare la nostra maledizione?"	„Kannst du unseren Fluch brechen?“	"¿Puedes eliminar nuestra maldición?"		„Czy zdejmiesz z nas klątwę?”	“你能解除我们的诅咒吗？”	「你可以解除我們的詛咒？」	「私の呪いを解いてくれるか？」	"저희 주문을 풀어주실 수 있나요?"
label_happiness_intro_title		World of Sadness	Wereld van verdriet	Monde triste	Mondo della Tristezza	Welt der Traurigkeit	Mundo de la tristeza		Świat Smutku	悲伤世界	悲傷的世界	悲しみの世界	슬픔의 세계
label_happiness_return_0		Do you want to return to the Mainland?	Wil je terugkeren naar de Thuisbasis?	Voulez-vous retourner sur le continent ?	Vuoi tornare sulla Terraferma?	Möchtest du zum Festland zurückkehren?	¿Quieres volver a tierra firme?		Czy chcesz powrócić na Kontynent?	你想要返回大陆吗？	你要回到主要大陸？	本土に戻りますか？	육지로 다시 돌아가시겠습니까?
label_happiness_warning		You need [count] Happiness by the end of the next moon!	Je hebt [count] Blijdschap nodig tegen het einde van de volgende Maan!	Vous aurez besoin de [count] Bonheur à la fin de la prochaine Lune !	Hai bisogno di [count] Felicità alla fine della prossima Luna!	Am Ende des nächsten Mondes benötigst du [count] Glück!	¡Necesitas [count] de felicidad al final de la siguiente luna!		Na koniec kolejnego miesiąca potrzebujesz [count] szt. Szczęścia!	在下个月亮年结束的时候，你需要有[count]点幸福！	在下一個月底前你需要[count]點快樂	次の月齢の終わりまでに、幸福が[count]個必要だ！	다음 달의 마지막에 [count]만큼의 행복이 필요합니다!
label_island_update		The Island	Het Eiland	L'Île	L'Isola	Die Insel	La isla		Wyspa	海岛	小島	アイランド	섬
label_its_the_spirit		It's the spirit!	Het is de Geest!	C'est l'Esprit !	È lo Spirito!	Das ist der Geist!	¡Es el espíritu!		To Duch!	是魂灵！	是精靈！	精霊だ！	영혼입니다!
label_magic_description		Magic is strong against melee, but weak against ranged	Magie is sterk tegen mêlee, maar zwak tegen afstandsaanvallen	La magie est puissante contre les attaques de mêlée mais faible contre les attaques à distance	Magia è forte contro Mischia, ma debole contro Distanza	Magie ist stark gegen Nahkampfangriffe, aber schwach im Fernkampf.	La magia es fuerte contra cuerpo a cuerpo, pero débil con unidades a distancia.		Magia dobrze radzi sobie z bronią białą, ale słabo z dystansową	魔法强于近战，但不敌远程	魔法強於近戰，但弱於遠程	魔法は近距離攻撃に強いが、遠距離攻撃に弱い	마법 공격은 근접 공격을 상대로 강하지만 원거리 공격을 상대로는 약합니다
label_magic_lore		Channels a greater power	Hocus pocus!	Génère un grand pouvoir	Incanala una potenza maggiore	Kanalisiert eine größere Macht	Canaliza un poder superior		Korzysta z potężnej mocy	引导出更强大的力量	傳導一股更龐大的力量	強大な力を流し込む	더 큰 힘을 보냅니다
label_magic_title		Magic Attack	Magische aanval	Attaque magique	Attacco magico	Magischer Angriff	Ataque mágico		Magiczny atak	魔法攻击	魔攻	魔法攻撃	마법 공격
label_main_game		Original	Origineel	Original	Originale	Original	Original		Oryginalna	原始	原生	オリジナル	오리지널
label_melee_description		Melee is strong against ranged, but weak against magic	Mêlee is sterk tegen afstandsaanvallen, maar zwak tegen magie	Les attaques de mêlée sont puissantes contre les attaques à distance mais faibles contre la magie	Mischia è forte contro Distanza, ma debole contro Magia	Nahkampf ist stark gegen Fernkampf, aber schwach gegen Magie.	El cuerpo a cuerpo es fuerte contra unidades a distancia, pero débil contra la magia.		Broń biała dobrze radzi sobie z dystansową, ale słabo z magią	近战强于远程，但不敌魔法	近戰強於遠攻，但若於魔攻	近距離攻撃は遠距離攻撃に強いが、魔法に弱い	근접 공격은 원거리 공격을 상대로 강하지만 마법 공격을 상대로는 약합니다
label_melee_lore		Close and personal	Dit wordt handgemeen	Corps à corps	Vicino e personale	Nah und persönlich	Cercano y personal.		Bliska i osobista	近距离，且针对个人	近距離且肉搏的	直接勝負の接近戦	가깝고 개인적입니다
label_melee_title		Melee Attack	Mêlee-aanval	Attaque de mêlée	Attacco in mischia	Nahkampfangriff	Ataque cuerpo a cuerpo		Atak bronią białą	近战攻击	近戰	近距離攻撃	근접 공격
label_menu_spirit_title		Cursed Worlds	Cursed Worlds	Cursed Worlds	Cursed Worlds	Cursed Worlds	Cursed Worlds		Cursed Worlds	Cursed Worlds	被詛咒的世界	Cursed Worlds	Cursed Worlds
label_menu_spirit_title_locked		Cursed Worlds out now!	Cursed Worlds nu beschikbaar!	Cursed Worlds disponible !	Cursed Worlds è disponibile!	Cursed Worlds ist jetzt erhältlich!	¡Ya está disponible el DLC: Cursed Worlds!		Cursed Worlds jest już dostępne!	“Cursed Worlds”现已发布！	被詛咒的世界現正推出！	『Cursed Worlds』配信中！	Cursed Worlds가 출시됐습니다!
label_missing_cards_text		The following cards in the run could not be loaded, likely due to a missing mod: [missing].##Would you like to continue the run anyway? Some cards may be missing.	De volgende kaarten in de run kunnen niet worden geladen, waarschijnlijk door een ontbrekende mod: [missing].##Wil je toch doorgaan met de run? Er kunnen kaarten ontbreken.	Les cartes suivantes n'ont pas pu être chargées pour cette partie, probablement à cause d'un mod manquant : [missing].##Voulez-vous continuer sans ces cartes ?	Non è stato possibile caricare le seguenti carte nella partita, probabilmente a causa di una mod mancante: [missing].##Continuare comunque la partita? Potrebbero mancare alcune carte.	Die folgenden Karten im Lauf konnten wahrscheinlich wegen einer fehlenden Mod nicht geladen werden: [missing].##Möchtest du den Lauf trotzdem fortsetzen? Manche Karten könnten fehlen.	No se han podido cargar las siguientes cartas, posiblemente porque falte un modificador: [missing].##¿Quieres continuar de todos modos? Faltarán algunas cartas.		Następujące karty nie mogły zostać wczytane ze względu na brak moda: [missing].##Czy chcesz kontynuować grę mimo to? Może brakować niektórych kart.	由于缺少模组，无法加载回合中的以下卡牌：[missing]。##你还想继续回合吗？有些卡牌可能会丢失。	無法讀取運行中的以下卡片，可能是由於缺少模組：[missing]。##是否仍要繼續運行？某些卡片可能會遺失。	プレイ中の「[missing]」のカードを読み込めません。MODが不足している可能性があります。##それでもプレイを続けますか？いくつかカードが失われるかもしれません。	게임 진행 중 다음의 카드는 로딩되지 않을 수 있으며, 이는 모드가 누락되었기 때문일 가능성이 높습니다. [missing]##그래도 게임을 계속하시겠습니까? 일부 카드가 누락됐을 수 있습니다.
label_missing_cards_title		Missing Cards	Ontbrekende kaarten	Cartes manquantes	Carte mancanti	Fehlende Karten	Cartas faltantes		Brakujące karty	丢失的卡牌	遺失卡片	不足カード	누락된 카드
label_mod_update_type		Modded Card	Gemodde kaart	Cartes de mod	Carta modificata	Modifizierte Karten	Carta modificada		Karty z moda	修改过的卡牌	模組卡片	MODカード	모딩된 카드
label_mods		Mods	Mods	Mods	Mod	Mods	Modificadores		Mody	模组	模組	MOD	모드
label_mods_enable_title		Toggle Mods	Mods aan/uit	Activer les mods	Attiva/disattiva mod	Mods umschalten	Alternar modificadores		Przełącz mody	切换模组	切換模組	MODの変更	모드 켜기/끄기
label_name_villager_text		Don't get too attached!	Raak er maar niet gehecht aan!	Attention à ne pas trop vous attacher !	Non affezionarti troppo!	Gewöhn dich nicht zu sehr daran!	¡No te encariñes demasiado!		Nie przywiązuj się za bardzo!	不要太过依恋！	不要太講究了！	愛着の湧きすぎにご用心！	너무 정 붙이지 마세요!
label_new_villager		A new Villlager	Een nieuwe Dorpeling	Nouveau Villageois	Un nuovo Abitante	Ein neuer Dorfbewohner	Un nuevo aldeano		Nowy Wieśniak	一个新村民	一個新的村民	新しい村人	새 주민
label_new_villager_death		A lonely Villager decided to settle in your village	Een eenzame Dorpeling heeft besloten in je dorp in te trekken	Un Villageois solitaire a décidé de s'installer dans votre village	Un Abitante solitario ha deciso di stabilirsi nel tuo villaggio	Ein einsamer Dorfbewohner hat beschlossen, sich in deinem Dorf niederzulassen.	Un aldeano solitario ha decidido asentarse en tu aldea.		Samotny Wieśniak zdecydował się osiedlić w twojej wiosce	一个孤独的村民决定在你的村庄定居	一個孤獨的村民決定在你們的村莊安家	独りぼっちの村人があなたの村に住むことを決めた	외로운 주민이 당신의 마을에 정착하기로 결정했습니다
label_new_villager_happiness		A new Villager heard about your happy village, and decided to settle here!	Een nieuwe Dorpeling had van je blije dorp gehoord en heeft besloten om hier in te trekken!	Un nouveau Villageois a entendu parler de votre village et a décidé de venir s'y installer !	Un nuovo Abitante ha sentito parlare del tuo villaggio felice e ha deciso di stabilirsi qui!	Ein neuer Dorfbewohner hat von deinem glücklichen Dorf erfahren und beschlossen, sich hier niederzulassen!	¡Un nuevo aldeano ha oído hablar de tu aldea feliz y ha decidido asentarse aquí!		Nowy Wieśniak usłyszał o twojej radosnej Wiosce i zdecydował się tu osiedlić!	一个村民听说你的快乐村庄，并决定要定居在这里！	一個新的村民聽說了你們快樂的村莊，決定在這裡安家！	新しい村人がここは温かい村だと聞きつけて、この村に住むことを決めた！	새 주민이 당신의 행복한 마을에 대한 이야기를 듣고, 여기 정착하기로 했습니다!
label_not_everyone_happy		Some Villagers did not get enough Happiness...	Enkele Dorpelingen hebben niet genoeg Blijdschap gekregen...	Certains Villageois n'ont pas reçu assez de Bonheur…	Alcuni Abitanti non hanno ricevuto abbastanza Felicità.	Einige Dorfbewohner haben nicht genug Glück bekommen.	Algunos aldeanos no han obtenido felicidad suficiente...		Niektórzy Wieśniacy nie dostali wystarczająco dużo Szczęcia...	一些村民并没有获得足够的幸福……	一些村民沒有獲得足夠快樂…	幸福が足りない村人がいる…	일부 주민은 충분한 행복을 얻지 못했습니다..
label_open_workshop		Open Workshop	Workshop openen	Ouvrir l'Atelier	Officina aperta	Werkstatt öffnen	Abrir un taller		Otwórz Warsztat	开放式工坊	打開工作坊	ワークショップを開く	작업장 열기
label_random_name		Randomize	Willekeurig	Aléatoire	Casuale	Zufällig	Al azar		Losowe	随机化	隨機化	ランダムで決める	무작위로 짓기
label_ranged_description		Ranged is strong against magic, but weak against melee	Afstandsaanvallen zijn sterk tegen magie, maar zwak tegen mêlee	Les attaques à distance sont puissantes contre la magie mais faibles contre les attaques de mêlée	Distanza è forte contro Magia, ma debole contro Mischia	Fernkampf ist stark gegen Magie, aber schwach gegen Nahkampf.	Las unidades a distancia son fuertes contra la magia, pero débiles contra cuerpo a cuerpo.		Broń dystansowa dobrze radzi sobie z magią, ale słabo z bronią białą	远程强于魔法，但不敌近战	遠攻強於魔法，但弱於近戰	遠距離攻撃は魔法に強いが、近距離攻撃に弱い	원거리 공격은 마법 공격을 상대로 강하지만 근접 공격을 상대로 약합니다
label_ranged_lore		Attack from a distance	Val van een afstand aan	Pour attaquer à distance	Attacco dalla distanza	Greife aus der Distanz an.	Ataca desde lejos.		Atak z odległości	从远处攻击	從遠距離攻擊	遠くから攻撃する	멀리서 하는 공격
label_ranged_title		Ranged Attack	Afstandsaanval	Attaque à distance	Attacco a distanza	Fernangriff	Ataque a distancia		Atak dystansowy	远程攻击	遠攻	遠距離攻撃	원거리 공격
label_return_from_spirit_world_text		Are you sure you want to leave this Spirit World? The world will reset when you leave.	Weet je zeker dat je de Geestenwereld wilt verlaten? De wereld wordt gereset wanneer je vertrekt.	Voulez-vous vraiment quitter ce monde spirituel ? Il sera réinitialisé après votre départ.	Vuoi davvero lasciare questo Mondo degli Spiriti? Il mondo si ripristinerà quando te ne andrai.	Möchtest du diese Geisterwelt wirklich verlassen? Die Welt wird zurückgesetzt, wenn du sie verlässt.	¿Seguro que quieres abandonar este mundo espiritual? El mundo se reiniciará cuando te vayas.		Czy na pewno chcesz opuścić Świat Duchów? Zresetuje się po tym, jak go opuścisz.	你确定要离开这个魂灵世界吗？你离开后世界将会重置。	你確定你要離開這個靈界？當你離開時世界會重置。	本当にこの霊界を離れますか？ここを離れると、ワールドはリセットされます。	영혼의 세계를 정말로 떠나시겠습니까? 떠나면 세계가 초기화됩니다.
label_return_from_spirit_world_title		Returning...	Aan 't terugkeren	Retour…	Ritorno...	Kehrt zurück ...	Volviendo...		Powrót...	正在返回……	正在回歸	帰還中…	돌아가는 중...
label_sadness_demon_text		You had too much Sadness!	Er was te veel verdriet!	Vous débordiez de Tristesse !	Hai avuto troppa Tristezza!	Du hattest zu viel Traurigkeit!	¡Tenías demasiada tristeza!		W wiosce było za dużo Smutku!	你有太多悲伤牌了！	你經歷太多悲傷！	悲しみが溜まりすぎた！	보유한 슬픔이 너무 많습니다!
label_sadness_demon_title		The Demon of Sadness appeared	De Demon van verdriet is verschenen	Le Démon de Tristesse est apparu	È apparso il Demone della Tristezza	Der Dämon der Traurigkeit ist erschienen.	Ha aparecido el demonio de la tristeza.		Pojawił się Demon Smutku	悲伤恶魔出现了	悲傷惡魔出現了	悲しみのデーモンが姿を現した	슬픔의 악마가 나타났습니다
label_screenshake_enabled		Screenshake enabled	Scherm schudden ingeschakeld	Tremblements de l'écran activés	Movimento dello schermo attivato	Bildschirmwackeln aktiviert	Vibración de pantalla activada	Tremor de tela ativado	Wstrząsy ekranu są włączone	启用屏幕抖动	啟動螢幕晃動功能	スクリーンシェイク有効	화면 진동 활성화됨
label_shaman_appeared		A Shaman appeared out of nowhere	Uit het niets is er een Sjamaan verschenen	Un Chaman est apparu de nulle part	Uno Sciamano è apparso dal nulla	Ein Schamane ist aus dem Nichts erschienen.	Ha aparecido un chamán de la nada.		Znikąd pojawił się Szaman	一个萨满突然出现了	一個薩滿憑空冒出	どこからともなくシャーマンが姿を現した	샤먼이 난데없이 나타났습니다
label_shaman_intro		Something feels off	Er klopt hier iets niet	C'est louche	Qualcosa non va	Etwas fühlt sich seltsam an.	Algo no va bien.		Coś jest nie tak	感觉不对劲	有些事情不對勁	なぜだか体がだるい	뭔가 좋지 않은데
label_shaman_leaving_text		The Shaman has told you everything he knows, and will leave this world	De Sjamaan heeft alles verteld wat hij weet en gaat deze wereld verlaten	Le Chaman vous a dit tout ce qu'il savait et va repartir	Lo Sciamano ha detto tutto quello che sa e lascerà questo Mondo	Der Schamane hat alles gesagt, was er weiß, und wird diese Welt verlassen.	El chamán te ha contado todo lo que sabe y abandona este mundo.		Szaman powiedział wszystkim, że wie, jak wydostać się z tego świata	萨满说出了所知的一切，并将离开这个世界	薩滿已經告知所有他知道的事情，並且會離開這個世界	シャーマンは知っていることを全て話し、この世界を後にする	샤먼은 자기가 아는 모든 걸 말해줬고 이 세계를 떠날 겁니다
label_shaman_leaving_title		The Shaman is leaving	De Sjamaan vertrekt	Le Chaman s'en va	Lo Sciamano se ne sta andando	Der Schamane bricht auf.	El chamán se marcha		Szaman odchodzi	萨满要离开了	薩滿正在離開	シャーマンは姿を消した	샤먼이 떠나는 중입니다
label_spirit_dlc_not_installed_text		Get access to the new content by purchasing the Cursed Worlds DLC	Koop de DLC Cursed Worlds en krijg toegang tot de nieuwe content	Vous pouvez accéder au nouveau contenu en achetant le DLC Cursed Worlds.	Ottieni l'accesso a nuovi contenuti acquistando il DLC Cursed Worlds	Erhalte Zugriff auf den neuen Inhalt, indem du den „Cursed Worlds“-DLC erwirbst.	Recibe acceso al contenido nuevo comprando el DLC: Cursed Worlds.		Zdobądź dostęp do nowej zawartości, kupując rozszerzenie Cursed Worlds	通过购买“Cursed Worlds DLC”来访问新内容	購買被詛咒的世界DLC以取得新的內容	DLC『Cursed Worlds』を購入して、新コンテンツをプレイしよう	새 콘텐츠를 이용하려면 Cursed Worlds DLC를 구매하세요
label_spirit_dlc_not_installed_title		The Cursed Worlds DLC	De DLC Cursed Worlds	DLC Cursed Worlds	DLC Cursed Worlds	„Cursed Worlds“-DLC	DLC: Cursed Worlds		Rozszerzenie Cursed Worlds	Cursed Worlds DLC	被詛咒的世界DLC	DLC『Cursed Worlds』	Cursed Worlds DLC
label_spirit_outro_1		"Thanks for helping us"	"Bedankt voor je hulp"	Merci de nous avoir aidés	"Grazie per averci aiutato."	„Vielen Dank, dass du uns geholfen hast.“	"Gracias por ayudarnos."		„Dziękujemy za pomoc”	“谢谢你帮助我们”	「感謝幫助」	「助けてくれてありがとう」	"저희를 도와주셔서 감사합니다"
label_spirit_outro_2		"You may now return to your old world"	"Je kunt nu terugkeren naar je oude wereld"	Vous pouvez retourner vers votre ancien monde	"Ora puoi tornare nel tuo vecchio mondo."	„Du kannst jetzt in deine alte Welt zurückkehren.“	"Ya puedes volver a tu antiguo mundo."		„Możesz wrócić do swojego starego świata”	“你现在可以回到你的旧世界了”	「你現在應該可以回到你熟悉的世界」	「もう元の世界に戻って良い」	"이제 당신의 옛 세계로 돌아가셔도 됩니다"
label_spirit_outro_3		"Place anything you want to bring back on top of me..."	"Plaats alles wat je mee wilt nemen op mij..."	Disposez tout ce que vous voulez ramener sur moi…	"Metti su di me tutto ciò che vuoi riportare indietro..."	„Platziere alles, was du mit zurücknehmen willst, auf mir ...“	"Coloca encima de mí todo lo que quieras llevarte de vuelta."		„Umieść na mnie wszystko, co chcesz zabrać ze sobą...”	“把你想要带回去的东西放在我身上……”	「把任何你要帶回去的東西都放到我上面…」	「持って帰りたいものは私の上に重ねてくれ…」	"다시 가져오고 싶은 것을 제 위에 놓으세요.."
label_spirit_outro_4		"...and I'll bring you back"	"...dan breng ik je terug"	Et je vous le rapporterai	"... e io ti riporterò indietro."	„... und ich bringe dich zurück.“	"Yo me encargo de llevártelo."		„...a cię przeniosę cię z powrotem”	“……我会带你回去”	「…然後我會帶你回去」	「…私が届けよう」	".. 그럼 제가 다시 가져다드릴게요"
label_spirit_outro_choice_0		Continue here	Speel hier door	Continuer ici	Continua qui	Hier fortfahren	Continuar aquí		Kontynuuj	在此继续	在此繼續	このままプレイする	여기서 계속하기
label_spirit_outro_choice_1		Return to Mainland	Keer terug naar de Thuisbasis	Retourner sur le continent	Torna sulla Terraferma	Zum Festland zurückkehren	Volver a tierra firme		Wróć na Kontynent	返回大陆	回到主要大陸	本土に戻る	육지로 돌아가기
label_spirit_update		Spirit Update	Geesten-update	Mise à jour spirituelle	Aggiornamento dello Spirito	Geister-Update	Actualización de espíritu		Informacje od Ducha	魂灵升级	精靈更新	精霊のアップデート	영혼 업데이트
label_time_infobox	Controls can now be rebound, so that the parameters will be replaced with the appropriate key	The current time. There's [time_left] left in this moon.##Use [action_time_pause] to pause or use [action_time_toggle] to toggle between game speeds	De huidige tijd. Er is nog [time_left] over in deze Maan. Gebruik [action_time_pause] om te pauzeren of gebruik [action_time_toggle] om te wisselen tussen de verschillende snelheden	Il reste [time_left] avant la fin de cette Lune.##Appuyez sur [action_time_pause] pour mettre en pause ou sur [action_time_toggle] pour changer de vitesse	L'ora corrente. Rimangono ancora [time_left] in questa Luna.##Usa [action_time_pause] per mettere in pausa o [action_time_toggle] per passare da una velocità di gioco all'altra.	Die aktuelle Zeit. Dieser Mond dauert noch [time_left].##Mit [action_time_pause] kannst du das Spiel unterbrechen oder mit [action_time_toggle] zwischen Spielgeschwindigkeiten wechseln.	El transcurso actual. Quedan [time_left] en esta luna.##Pulsa [action_time_pause] para pausar o [action_time_toggle] para cambiar de velocidad.		Aktualny czas. Czas pozostały w tym miesiącu: [time_left].##Użyj [action_time_pause], aby wstrzymać grę lub [action_time_toggle], aby przełączać prędkość rozgrywki	当前时间。这个月亮年还剩下[time_left]。##使用[action_time_pause]暂停或者使用[action_time_toggle]切换游戏速度	現在時間。距離月底還剩下[time_left]。##使用[action_time_pause]以暫停或使用[action_time_toggle]切換遊戲速度。	現在の時間。この月の残り時間は[time_left]。##[action_time_pause]で一時停止するか、[action_time_toggle]でゲーム速度を変更できます	현재 시간. 이번 달이 [time_left] 남았습니다.##[action_time_pause] 키로 일시중지하거나 [action_time_toggle] 키로 게임 속도를 전환하세요
label_try_attack_royal_description		Be careful...	Pas op...	Attention…	Fai attenzione...	Sei vorsichtig ...	Ten cuidado...		Uważaj...	要小心……	小心…	選択は慎重に…	조심하세요..
label_try_attack_royal_description_4		He won't be friendly forever...	Hij blijft niet altijd zo vriendelijk...	Il ne va pas rester compréhensif très longtemps…	Non sarà amichevole per sempre...	Er wird nicht ewig freundlich sein ...	No será siempre tan amable...		Nie zawsze będzie miły...	他不会一直这么友好……	他將不會永遠友好…	もう友好的な態度は期待できないだろう…	그가 영원히 우리 편은 아닐 겁니다...
label_try_attack_royal_description_8		Last warning!	Laatste waarschuwing!	Dernier avertissement !	Ultimo avvertimento!	Letzte Warnung!	¡Último aviso!		To ostatnie ostrzeżenie!	最后警告！	最後通牒！	最終警告！	마지막 경고입니다!
label_try_attack_royal_title		Anger the Royal	Maak de Koning boos	Souverain contrarié	Fai arrabbiare il Re	Den König ärgern	Enfurece al rey		Rozwściecz Króla	激怒国王	惹怒王家	王様を怒らせる	왕을 화나게 하기
