"Term"	"Notes"	"Ukrainian"
"label_final_demand_end_text"	""	"I was doubtful you would get me the Dragon Egg, but here you are!"
"label_final_demand_end_text_2"	""	"*A crack starts to appear in the shell*"
"label_final_demand_end_text_3"	""	"What's this? A crack in MY Dragon Egg? Get me a new one right away!"
"label_final_demand_end_text_4"	""	"The egg cracks again..."
"label_final_demand_end_text_5"	""	"Shame on you..."
"label_final_demand_end_text_6"	""	"The egg breaks open!"
"label_final_demand_end_text_7"	""	"It's a dragon!"
"label_final_demand_end_text_8"	""	"With one big swing the dragon takes out the Royal"
"label_final_demand_merchant"	""	"A Merchant appeared"
"label_final_demand_text"	""	"I have everything, but it's not enough..."
"label_final_demand_text_2"	""	"I want more food, more entertainment and more valuables!"
"label_final_demand_text_3"	""	"A dear friend of mine got a Phoenix Egg for his birthday... I want something better!"
"label_final_demand_text_4"	""	"There is a Merchant in town, and he's selling a Dragon Egg! Get it for me!"
"label_forest_update"	""	"The Dark Forest"
"label_fountain_text"	""	"The fountain prevented your Villagers from aging"
"label_fountain_title"	""	"Fountain of Youth"
"label_giving_happiness"	"nog over nadenken"	"Giving Happiness..."
"label_greed_demand_failed_fight"	""	"I'll have to teach you a lesson... Guards!!"
"label_greed_demand_failed_first_time"	""	"This is your first offence, so I will let it slide. Don't let it happen again!"
"label_greed_intro_1"	""	"Welcome to the World of Greed"
"label_greed_intro_2"	""	"This is the Greedy Royal..."
"label_greed_intro_3"	""	"Starting next moon, he will demand everything his heart desires"
"label_greed_intro_4"	""	"If you don't serve the Royal, he will send out his Royal Guards"
"label_greed_intro_5"	""	"Help me get rid of him to lift our curse!"
"label_greed_intro_title"	""	"World of Greed"
"label_greed_lift_curse"	""	"Luckily, the Dragon did not eat the Royal Crown"
"label_greed_lift_curse_2"	""	"The Royal Crown is the most valuable item in the whole world..."
"label_greed_lift_curse_3"	""	"However, you can't lift the curse without the Royal Crown.."
"label_greed_lift_curse_kill_royal"	""	"Wow, you managed to kill the Royal and he dropped his crown!"
"label_greed_new_villager"	""	"You are working too slow for my liking..."
"label_greed_new_villager_2"	""	"Here is some extra help... Now off you go!"
"label_greed_outro_wear_crown"	""	"You can't wear the Royal Crown, I won't allow it"
"label_happiness_infobox"	""	"At the end of the moon, you will need [required_happiness_count] [happinessicon] to keep your Villagers happy."
"label_happiness_infobox_warning"	""	"Get [happinessicon] so their demons won't appear!"
"label_happiness_intro_1"	""	"Welcome to the World of Sadness"
"label_happiness_intro_2"	""	"Every moon, our Villagers need Happiness"
"label_happiness_intro_3"	""	"Different actions will give them Happiness"
"label_happiness_intro_4"	""	"If Villagers don't get enough Happiness, their demons will appear"
"label_happiness_intro_5"	""	"Can you lift our curse?"
"label_happiness_intro_title"	""	"World of Sadness"
"label_happiness_return_0"	""	"Do you want to return to the Mainland?"
"label_happiness_warning"	""	"You need [count] Happiness by the end of the next moon!"
"label_island_update"	""	"The Island"
"label_its_the_spirit"	""	"It's the spirit!"
"label_magic_description"	""	"Magic is strong against melee, but weak against ranged"
"label_magic_lore"	""	"Channels a greater power"
"label_magic_title"	""	"Magic Attack"
"label_main_game"	""	"Original"
"label_melee_description"	""	"Melee is strong against ranged, but weak against magic"
"label_melee_lore"	""	"Close and personal"
"label_melee_title"	""	"Melee Attack"
"label_menu_spirit_title"	""	"Cursed Worlds"
"label_menu_spirit_title_locked"	""	"Cursed Worlds out now!"
"label_missing_cards_text"	""	"The following cards in the run could not be loaded, likely due to a missing mod: [missing].##Would you like to continue the run anyway? Some cards may be missing."
"label_missing_cards_title"	""	"Missing Cards"
"label_mod_update_type"	""	"Modded Card"
"label_mods"	""	"Модифікації"
"label_mods_enable_title"	""	"Увімк./вимк. модифікації"
"label_name_villager_text"	""	"Don't get too attached!"
"label_new_villager"	""	"A new Villlager"
"label_new_villager_death"	""	"A lonely Villager decided to settle in your village"
"label_new_villager_happiness"	""	"A new Villager heard about your happy village, and decided to settle here!"
"label_not_everyone_happy"	""	"Some Villagers did not get enough Happiness..."
"label_open_workshop"	""	"Відкрити майстерню"
"label_random_name"	""	"Randomize"
"label_ranged_description"	""	"Ranged is strong against magic, but weak against melee"
"label_ranged_lore"	""	"Attack from a distance"
"label_ranged_title"	""	"Ranged Attack"
"label_return_from_spirit_world_text"	""	"Are you sure you want to leave this Spirit World? The world will reset when you leave."
"label_return_from_spirit_world_title"	""	"Returning..."
"label_sadness_demon_text"	""	"You had too much Sadness!"
"label_sadness_demon_title"	""	"The Demon of Sadness appeared"
"label_screenshake_enabled"	""	"Трясіння екрана увімкнено"
"label_shaman_appeared"	""	"A Shaman appeared out of nowhere"
"label_shaman_intro"	""	"Something feels off"
"label_shaman_leaving_text"	""	"The Shaman has told you everything he knows, and will leave this world"
"label_shaman_leaving_title"	""	"The Shaman is leaving"
"label_spirit_dlc_not_installed_text"	""	"Get access to the new content by purchasing the Cursed Worlds DLC"
"label_spirit_dlc_not_installed_title"	""	"The Cursed Worlds DLC"
"label_spirit_outro_1"	""	"Thanks for helping us"
"label_spirit_outro_2"	""	"You may now return to your old world"
"label_spirit_outro_3"	""	"Place anything you want to bring back on top of me..."
"label_spirit_outro_4"	""	"...and I'll bring you back"
"label_spirit_outro_choice_0"	""	"Continue here"
"label_spirit_outro_choice_1"	""	"Return to Mainland"
"label_spirit_update"	""	"Spirit Update"
"label_time_infobox"	"Controls can now be rebound, so that the parameters will be replaced with the appropriate key"	"The current time. There's [time_left] left in this moon.##Use [action_time_pause] to pause or use [action_time_toggle] to toggle between game speeds"
"label_try_attack_royal_description"	""	"Be careful..."
"label_try_attack_royal_description_4"	""	"He won't be friendly forever..."
"label_try_attack_royal_description_8"	""	"Last warning!"
"label_try_attack_royal_title"	""	"Anger the Royal"
"label_update_text_spirit"	""	"Thanks for purchasing the Cursed Worlds DLC!##Travel to three different worlds where villagers are haunted by tricky curses! Build up their village, then use new cards and card packs to lift the curse!##<i>DLC content is accessible after having completed the game's first boss fight.</i>"
"label_update_text_spirit_locked"	""	"We've just released the first Stacklands DLC! Travel to three different worlds, where villagers are haunted by tricky curses! Build up their village, then use new cards and card packs to lift the curse!##• 130+ new cards#• 50+ new quests#• 15 new card packs#• 3-5 hours of playtime "
"label_update_title_spirit"	""	"The Cursed Worlds"
"label_villager_age_birthday"	""	"Some villagers grew older"
"label_villager_age_description"	""	"<one>Age: 1 Moon<other>Age: [age] Moons"
"label_villager_food_poisoning"	""	"[villager] got food poisoning..."
"label_villager_old"	""	"Old [villager]"
"label_villager_old_age_death"	""	"[villager] died of old age"
"label_villager_sick"	""	"[villager] got sick..."
"label_villager_young"	""	"Young [villager]"
"label_wow"	""	"Wow!"
"pack_death_animals_text"	""	"Animal Lives"
"pack_death_basic_text"	""	"Daily Life"
"pack_death_ideas_1_text"	""	"Wisdom of Life"
"pack_death_ideas_2_text"	""	"Deep Thoughts"
"pack_death_intro_text"	""	"Life Is Short"
"pack_death_locations_text"	""	"The End"
"pack_greed_basic1_text"	""	"Pure Greed"
"pack_greed_food_creatures_text"	""	"Noble Creatures"
"pack_greed_ideas1_text"	""	"Royal Inventor"
"pack_greed_ideas2_text"	""	"Courtyard Contraptions"
"pack_greed_intro_text"	""	"Greedy Intro"
"pack_greed_luxuries_text"	""	"Royal Luxuries"
"pack_happiness_creatures_text"	""	"Happy Animals"
"pack_happiness_food_text"	""	"Soul Food"
"pack_happiness_ideas1_text"	""	"Happy Thoughts"
"pack_happiness_ideas2_text"	""	"Happy Ever After"
"pack_happiness_intro_text"	""	"Happy Start"
"pack_happiness1_text"	""	"Simple Life"
"quest_3_succesfull_demands_text"	""	"Successfully finish 3 demands"
"quest_5_succesfull_demands_text"	""	"Successfully finish 5 demands"
"quest_8_succesfull_demands_text"	""	"Successfully finish 8 demands"
"quest_create_altar_text"	""	"Talk to the Shaman to gain secret knowledge"
"quest_death_befriend_cat_text"	""	"Befriend a Cat"
"quest_death_breed_cow_text"	""	"Breed a Cow"
"quest_death_build_lumbercamp_text"	""	"Build a Lumber Camp"
"quest_death_build_outhouse_text"	""	"Build an Outhouse"
"quest_death_create_fountain_of_youth_text"	""	"Build the Fountain of Youth"
"quest_death_cure_sick_villager_text"	""	"Cure a Sick Villager"
"quest_death_explore_ruins_text"	""	"Explore the Ruins"
"quest_death_find_cure_text"	""	"Figure out how to lift the curse"
"quest_death_find_fix_text"	""	"Lift the Curse of Death"
"quest_death_have_3_cows_text"	""	"Have 3 Cows"
"quest_death_have_3_poop_text"	""	"Have 3 Poop"
"quest_death_make_cheese_text"	""	"Make Cheese"
"quest_death_name_villager_text"	""	"Name a Villager"
"quest_death_second_villager_text"	""	"Get a second Villager"
"quest_death_third_villager_text"	""	"Make a baby before it's too late..."
"quest_death_unlock_packs_text"	""	"Unlock All Packs"
"quest_death_villager_old_age_dead_text"	""	"Have a Villager die of old age"
"quest_death_villager_old_text"	""	"Have an Old Villager"
"quest_enter_death_world_text"	""	"Visit the World of Death"
"quest_enter_greed_world_text"	""	"Visit the World of Greed"
"quest_enter_happiness_world_text"	""	"Visit the World of Sadness"
"quest_fight_royal_guard_text"	""	"Fight the Royal Guards"
"quest_find_death_world_text"	""	"Figure out how to summon the Spirit of Death"
"quest_find_greed_world_text"	""	"Figure out how to summon the Spirit of Greed"
"quest_find_happiness_world_text"	""	"Figure out how to summon the Spirit of Sadness"
"quest_first_demand_text"	""	"Wait for the Royal's first demand"
"quest_get_grape_text"	""	"Harvest your first Grape"
"quest_greed_brickyard_text"	""	"Build a Brickyard"
"quest_greed_find_fix_text"	""	"Lift the Curse of Greed"
"quest_greed_garden_text"	""	"Build a Garden"
"quest_greed_lumbercamp_text"	""	"Build a Lumber Camp"
"quest_greed_mine_text"	""	"Build a Mine"
"quest_greed_oak_barrel_text"	""	"Make a Barrel"
"quest_greed_olive_oil_text"	""	"Make Olive Oil"
"quest_greed_quarry_text"	""	"Build a Quarry"
"quest_greed_roasted_meat_text"	""	"Fry some Meat"
"quest_greed_sawmill_text"	""	"Build a Sawmill"
"quest_greed_smelter_text"	""	"Build a Smelter"
"quest_greed_stomping_vat_text"	""	"Build a Stomping Vat"
"quest_greed_wine_text"	""	"Make Wine from Grapes"
"quest_greed_wool_text"	""	"Get Wool from a Sheep"
"quest_happiness_admire_a_coin_text"	""	"Admire a Coin"
"quest_happiness_all_packs_text"	""	"Unlock all Happiness Packs"
"quest_happiness_bake_bread_text"	""	"Bake Bread"
"quest_happiness_bake_pizza_text"	""	"Make a Pizza"
"quest_happiness_build_charity_text"	""	"Build a Charity"
"quest_happiness_build_garden_text"	""	"Build a Garden"
"quest_happiness_build_museum_text"	""	"Build a Museum"
"quest_happiness_build_tavern_text"	""	"Build a Tavern"
"quest_happiness_create_flour_text"	""	"Create Flour"
"quest_happiness_find_fix_text"	""	"Lift the Curse of Sadness"
"quest_happiness_get_2_happiness_text"	""	"Have 2 Happiness"
"quest_happiness_have_1_unhappiness_text"	""	"Have 1 Sadness"
"quest_happiness_have_10_unhappiness_text"	""	"Have 10 Sadness"
"quest_happiness_have_5_unhappiness_text"	""	"Have 5 Sadness"
"quest_happiness_make_dough_text"	""	"Make Dough"
"quest_happiness_read_book_text"	""	"Read a Book"
"quest_open_death_intro_pack_text"	""	"Open the pack"
"quest_open_happiness_intro_pack_text"	""	"Open the pack"
"quest_open_pack_text"	""	"Open your first pack"
"questgroup_death_mainquest"	""	"Life and death"
"questgroup_death_misc"	""	"Death Misc"
"questgroup_death_starter"	""	"The World of Death"
"questgroup_discover_spirits"	""	"Meet the Shaman"
"questgroup_greed_mainquest"	""	"Give me everything!"
"questgroup_greed_misc"	""	"Items fit for a Royal"
"questgroup_greed_starter"	""	"The World of Greed"
"questgroup_greed_thriving"	""	"Worthy Kingdom"
"questgroup_happiness_collecting"	""	"Fun Things"
"questgroup_happiness_cooking"	""	"Good Food"
"questgroup_happiness_mainquest"	""	"Keep 'em happy"
"questgroup_happiness_starter"	""	"The World of Sadness"
"questgroup_happiness_unhappy"	""	"So Sad"
"specialhit_anxious_long"	""	"[chance]% chance of making [target] anxious"
"statuseffect_angry_description"	""	"Angry Villagers will fight other Villagers"
"statuseffect_angry_lore"	""	"Has been sad for too long"
"statuseffect_angry_name"	""	"Angry"
"statuseffect_anxious_description"	""	"Decreases work speed a lot"
"statuseffect_anxious_lore"	""	"They feel ill at ease"
"statuseffect_anxious_name"	""	"Anxious"
"statuseffect_demand_description"	""	"Demands new cards every few moons"
"statuseffect_demand_lore"	""	"Always wants more"
"statuseffect_demand_name"	""	"Greedy"
"statuseffect_sick_description"	""	"Does [damage] damage every [time]"
"statuseffect_sick_lore"	""	"They're feeling ill.. There's too much Poop around!"
"statuseffect_sick_name"	""	"Хворий"
"label_shaman_intro_demon"	""	"You defeated the demon, and got the idea for a Rowboat"
"label_shaman_intro_island"	""	"If you want to further develop your village, you can visit the Island."
"label_beta_thanks"	""	"Дякую!"
"label_beta_text"	""	"Thanks for helping us playtest the Cursed Worlds DLC!##If you want to jump right in to the new content, you can select Continue Run and start just after the demon was defeated. You can also start a brand new run by selecting Start New Run.##If you want to continue using an old save, copy it over to:#[saveDirectory]###Have fun! If you run into any issues, please let us know in the Stacklands Playtesters Discord!"
"label_shaman_intro_cursed"	""	"If you want to learn more about visiting the Cursed Worlds you can talk to me"
"label_shaman_intro_title"	""	"Шаман"
"card_cursed_wand_name"	""	"Проклятий посох"
"card_cursed_wand_description"	""	"Він використовує темну магію"
"label_demand_coins_text"	""	"I want to buy some nice items! Get me [amount] Coins before the end of the moon [monthFinished]"
"label_demand_garden_text"	""	"We are running low on food and I want my servants to make me more. Build a Garden for me before the end of the moon [monthFinished]"
"label_demand_olives_text"	""	"I would like to eat something... exotic. Fetch me [amount] Olives before the end of the moon [monthFinished]"
"label_demand_beer_text"	""	"I will be having guests over at the end of the moon [monthFinished]. Get me [amount] Beers before then"
"label_demand_fancy_dress_text"	""	"I want to impress a lady that I fancy. Get me a Fancy Dress before the end of the moon [monthFinished]"
"label_demand_royal_banquet_text"	""	"It's my birthday in a few moons and I want a big feast! Get me a Royal Banquet before the end of the moon [monthFinished]"
"label_demand_wool_socks_text"	""	"My feet are cold! Get me some Purple Socks before the end of the moon [monthFinished]"
"label_demand_wine_text"	""	"The wine cellar is empty! Get me 2 bottles of wine before the end of the moon [monthFinished]"
"label_demand_painting_text"	""	"My house isn't classy enough. Get me a Painting before the end of the moon [monthFinished]"
"label_missing_cards_more_text"	""	"and [amount] more"
"label_animal_die"	""	"Some Animals passed away"
"specialhit_sick_long"	""	"[chance]% chance to make [target] Sick"
"card_well_name"	""	"Колодязь"
"card_well_description"	""	"An infinite source of Water"
"card_well_status_0"	""	"Building a Well"
"card_well_status_1"	""	"Getting Water"
"label_disable_paused_text"	""	"Flashing Paused: [on_off]"
"label_placeholder_search"	"Shown in search fields where players can input text"	"Пошук"
"label_conflict_very_effective"	""	"Very effective"
"cutscene_happiness_food_text_0"	""	"You sold some Food..."
"cutscene_happiness_food_text_1"	""	"Sadness appears if you sell Food that Villagers can eat"
"label_altar_cutscene_mainland"	""	"You have already finished this Spirit World. Do you want to restart the Spirit World or summon its Curse here?"
"label_altar_run_board"	""	"Summon [curse]"
"label_altar_run_redo"	""	"Restart Spirit World"
"board_island_name"	""	"Island"
"board_main_name"	""	"Mainland"
"board_forest_name"	""	"Forest"
"board_greed_name"	""	"Greed"
"board_death_name"	""	"Death"
"board_happiness_name"	""	"Happiness"
"label_altar_cutscene_good_luck"	""	"You summoned the Curse, good luck!"
"cutscene_happiness_middle_text_0"	""	"You're doing a great job at keeping the village happy. We might be able to lift the Curse if you collect more!"
"label_name_villager_title"	""	"Name this Card"
"credits_Tumult"	""	"Cursed Worlds - sound effects"
"label_spirit_outro_0_greed"	""	"You lifted the Curse of Greed!"
"label_spirit_outro_0_death"	""	"You lifted the Curse of Death!"
"label_spirit_outro_0_happiness"	""	"You lifted the Curse of Sadness!"
"card_sad_event_description"	""	"Creates 1 Sadness for every 2 Villagers"
"card_sad_event_name"	""	"Sad Event"
"label_sad_event_appeared"	""	"Something sad is about to happen!"
"label_greed_demand_failed_fight_peaceful"	""	"I'll have to teach you a lesson... I'll take your Coins!!"
"label_shaman_intro_peaceful"	""	"You combined the Temple and Golden Goblet and got the idea for a Rowboat"
"card_archer_name_young"	""	"Young Archer"
"card_archer_name_old"	""	"Old Archer"
"card_builder_name_young"	""	"Young Builder"
"card_builder_name_old"	""	"Old Builder"
"card_lumberjack_name_young"	""	"Young Lumberjack"
"card_lumberjack_name_old"	""	"Old Lumberjack"
"card_mage_name_young"	""	"Young Mage"
"card_mage_name_old"	""	"Old Mage"
"card_miner_name_young"	""	"Young Miner"
"card_miner_name_old"	""	"Old Miner"
"card_ninja_name_young"	""	"Young Ninja"
"card_ninja_name_old"	""	"Old Ninja"
"card_warrior_name_young"	""	"Young Warrior"
"card_warrior_name_old"	""	"Old Warrior"
"card_wizard_name_young"	""	"Young Wizard"
"card_wizard_name_old"	""	"Old Wizard"
"card_explorer_name_young"	""	"Young Explorer"
"card_explorer_name_old"	""	"Old Explorer"
"card_militia_name_young"	""	"Young Militia"
"card_militia_name_old"	""	"Old Militia"
"card_swordsman_name_young"	""	"Young Swordsman"
"card_swordsman_name_old"	""	"Old Swordsman"
"card_fisher_name_young"	""	"Young Fisher"
"card_fisher_name_old"	""	"Old Fisher"
"card_friendly_pirate_name_young"	""	"Young Friendly Pirate"
"card_friendly_pirate_name_old"	""	"Old Friendly Pirate"
"card_trained_monkey_name_young"	""	"Young Trained Monkey"
"card_trained_monkey_name_old"	""	"Old Trained Monkey"
"card_jester_name_young"	""	"Young Jester"
"card_jester_name_old"	""	"Old Jester"
"label_youtube_dlc_title"	""	"Cursed Worlds - early access"
"label_youtube_dlc_text"	""	"This is a special early access build of the Stacklands Cursed Worlds DLC!##You can quickly get access to the new content by using our pre-made save game. This save game starts just after beating the game's first boss.##It's also possible to continue normally from where your current save is.##If you want to start from scratch, clear your save data from the settings menu."
"label_load_run"	""	"Use the pre-made save game"
"label_exit"	""	"Continue normally"
"card_chicken_name_old"	""	"Old Chicken"
"card_cow_name_old"	""	"Old Cow"
"card_crab_name_old"	""	"Old Crab"
"card_horse_name_old"	""	"Old Horse"
"card_monkey_name_old"	""	"Old Monkey"
"card_parrot_name_old"	""	"Old Parrot"
"card_rabbit_name_old"	""	"Old Rabbit"
"card_sheep_name_old"	""	"Old Sheep"
"cutscene_death_middle_text_3"	""	"You did not get a new Villager in time..."
"cutscene_death_middle_text_4"	""	"Unfortunately, that means this village is doomed to come to an end.."
"label_greed_given"	"This is shown under the royal's demand to indicate how many were already given, e.g. 1/5 given"	"[given] given"
"credits_betatesting"	""	"Beta testing"
"card_carriage_name"	""	"Carraige"
"card_carriage_description"	""	"Used for exploration"
"card_carriage_status_0"	""	"Building a Carraige"
"card_carriage_status_1"	""	"Taking the Carraige"
"cutscene_expedition_start_title"	""	"Beginning of a journey"
"cutscene_expedition_start_text"	""	"Welcome to the Exploration map"
"cutscene_expedition_start_text_1"	""	"Here you find the paths you can take to achieve your goals of discovering all the lands"
"cutscene_expedition_start_text_2"	""	"Click the Start node to start exploring"
"cutscene_expedition_board_start_text"	""	"This is the Exploration board"
"cutscene_expedition_board_start_text_1"	""	"Every location you will visit will have a different quest to solve"
"cutscene_expedition_board_start_text_2"	""	"When you are ready, use the carraige to explore more of the world"
"cutscene_expedition_board_start_title"	""	"Exploration board"
