"Term"	"Notes"	"English"	"Ukrainian"
"statuseffect_frenzy_description"	""	"Increases attack speed for 10s"	"Збільшує швидкість атаки на 10 с"
"statuseffect_frenzy_lore"	""	"They're enraged"	"Вони розлючені"
"statuseffect_frenzy_name"	""	"Frenzy"	"Шаленство"
"statuseffect_invulnerable_description"	""	"Can't be damaged for 10s"	"Не може бути ушкоджений протягом 10 с"
"statuseffect_invulnerable_lore"	""	"A skin made of steel"	"Шкіра зі сталі"
"statuseffect_invulnerable_name"	""	"Invulnerable"	"Невразливий"
"target_allenemy"	""	"all enemies"	"всіх ворогів"
"target_allfriendly"	""	"all friendlies"	"всіх союзників"
"target_randomenemy"	""	"random enemy"	"випадкового ворога"
"target_randomfriendly"	""	"random friendly"	"випадкового союзника"
"target_self"	""	"self"	"себе"
"target_target"	""	"target"	"ціль"
"cardtype_humans"	""	"Villagers"	"Селяни"
"label_food_infobox"	""	"Every Moon you need [required_food_count] [foodicon] to feed your Villagers. You currently have [food_count] [foodicon]"	"Every Moon you need [required_food_count] [foodicon] to feed your Villagers. You currently have [food_count] [foodicon]"
"label_food_infobox_warning"	""	"Get [foodicon] so you won't lose your Villagers!"	"Get [foodicon] so you won't lose your Villagers!"
"label_starving_humans"	""	"<one>There is not enough Food.. 1 Villager will starve of Hunger<other>There is not enough Food.. [count] Villagers will starve of Hunger"	"<one>There is not enough Food.. 1 Villager will starve of Hunger<other>There is not enough Food.. [count] Villagers will starve of Hunger"
"card_tuna_description"	""	"Chunky fish"	"Велика риба"
"card_cod_description"	""	"Wet and slippery fish"	"Мокра та слизька риба"
"card_mackerel_description"	""	"Small fish"	"Маленька риба"
"label_health"	""	"Max Health"	"Макс. здоров'я"
"label_wave"	""	"Wave [wave]"	"Хвиля [wave]"
"label_undiscovered_cards_tooltip"	""	"This pack still contains some undiscovered cards"	"У цьому пакунку все ще є кілька невідкритих карт"
"label_undiscovered_cards_tooltip_title"	""	"Undiscovered Cards"	"Невідкриті карти"
"rumor_dark_forest_name"	""	"Dark Forest"	"Темний ліс"
"rumor_dark_forest_description"	""	"There's a hidden world behind the Strange Portal"	"За дивним порталом ховається прихований світ"
"pack_equipment_text"	"Name of a Card Pack related to Combat"	"The Armory"	"Зброярня"
"label_ui_scale"	""	"UI Scale: [scale]"	"Розмір інтерфейсу: [scale]"
"label_ui_scale_100"	""	"100%"	"100%"
"label_ui_scale_80"	""	"80%"	"80%"
"label_ui_scale_60"	""	"60%"	"60%"
"pack_combat_intro_text"	""	"New Weaponry"	"Нова зброя"
"label_strange_portal_appeared_strong"	""	"It seems stronger than usual"	"Він здається сильнішим, ніж зазвичай"
"label_itemlevel"	""	"Item Level [level]"	"Рівень предмета: [level]"
"label_health_info"	""	"Health: [health]/[maxhealth]"	"Здоров'я: [health]/[maxhealth]"
"card_rare_portal_name"	""	"Rare Portal"	"Рідкісний портал"
"card_rare_portal_description"	""	"It looks threatening. I wonder if we can enter it?"	"Виглядає загрозливо. Цікаво, чи зможемо ми туди увійти?"
"label_forest_wave_endless_end2"	""	"You have finished the Dark Forest quest"	"You have finished the Dark Forest quest"
"label_max_villager_in_portal"	""	"You can only take 7 Villagers in the portal"	"You can only take 7 Villagers in the portal"
"card_stable_portal_description"	""	"A permanent portal to The Dark Forest. Can move 7 Cards. Time for revenge!"	"A permanent portal to The Dark Forest. Can move 7 Cards. Time for revenge!"
"label_update_title_forest"	""	"The Dark Forest Update"	"The Dark Forest Update"
"label_update_text_forest"	"The # adds newlines to the text. Please keep them"	"The latest update is here! We've added a new area, made big changes to the combat in the game, and added several quality of life fixes!##This update brings a lot of changes to the base game. For the best experience you should start a new run!"	"The latest update is here! We've added a new area, made big changes to the combat in the game, and added several quality of life fixes!##This update brings a lot of changes to the base game. For the best experience you should start a new run!"
"card_militia_description"	""	"A villager that's ready to rumble."	"A villager that's ready to rumble."
"card_swordsman_description"	""	"A villager that's ready to fight!"	"A villager that's ready to fight!"
"quest_pause_game_text"	""	"Pause using the play icon in the top right corner"	"Pause using the play icon in the top right corner"
"card_university_name"	""	"University"	"University"
"card_university_description_long"	""	"A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them. [count]/[max_count] Coins given."	"A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them. [count]/[max_count] Coins given."
"card_university_description_completed"	""	"A place of wisdom. You've discovered all their Ideas."	"A place of wisdom. You've discovered all their Ideas."
"idea_university_status_0"	""	"Building a University"	"Building a University"
"label_invention_fullname"	""	"Invention: [name]"	"Invention: [name]"
"card_lighthouse_name"	""	"Lighthouse"	"Lighthouse"
"card_lighthouse_description"	""	"Increases the board size past the Warehouse limit"	"Increases the board size past the Warehouse limit"
"idea_lighthouse_status_0"	""	"Building a Lighthouse"	"Building a Lighthouse"
"card_resource_chest_name_override"	"[resource] is replaced by the resource the chest is holding, e.g. ""Wood Chest"""	"[resource] Chest"	"[resource] Chest"
"card_resource_chest_name"	""	"Resource Chest"	"Resource Chest"
"card_resource_chest_description"	""	"A Chest for storing Resources"	"A Chest for storing Resources"
"card_resource_chest_description_long"	""	"A Chest containing [amount] [resource] "	"A Chest containing [amount] [resource] "
"idea_resourcechest_status_0"	""	"Building Resource Chest"	"Building Resource Chest"
"card_resource_magnet_name"	""	"Resource Magnet"	"Resource Magnet"
"card_resource_magnet_name_override"	""	"[resource] Magnet"	"[resource] Magnet"
"card_resource_magnet_description"	""	"This card magically pulls cards of the same kind towards it"	"This card magically pulls cards of the same kind towards it"
"card_resource_magnet_description_long"	"[resource] is replaced by the resource the magnet is pulling, e.g. ""Wood Magnet"""	"Magnet is pulling [resource]"	"Magnet is pulling [resource]"
"idea_resource_magnet_status_0"	""	"Building a Resource Magnet"	"Building a Resource Magnet"
"card_heavy_foundation_name"	""	"Magic Glue"	"Magic Glue"
"card_heavy_foundation_description"	""	"Sticks the stack on top of it to the board and prevents it from moving"	"Sticks the stack on top of it to the board and prevents it from moving"
"idea_heavy_foundation_status_0"	""	"Crafting Magic Glue"	"Crafting Magic Glue"
"card_conveyor_name"	""	"Crane"	"Crane"
"card_conveyor_description"	""	"Lifts cards from one place to another"	"Lifts cards from one place to another"
"card_conveyor_status"	""	"Lifting [resource]"	"Lifting [resource]"
"idea_conveyor_status_0"	""	"Building a Crane"	"Building a Crane"
"card_hotpot_name"	""	"Hotpot"	"Hotpot"
"card_hotpot_description"	""	"A replenishable source of Food that your Villagers can eat from. Add Food and they'll eat from it at the end of the Moon!"	"A replenishable source of Food that your Villagers can eat from. Add Food and they'll eat from it at the end of the Moon!"
"idea_hotpot_status_0"	""	"Building a Hotpot"	"Building a Hotpot"
"card_trash_can_name"	""	"Dustbin"	"Dustbin"
"card_trash_can_description"	""	"Allows you to get rid of cards you don't want anymore"	"Allows you to get rid of cards you don't want anymore"
"idea_trash_can_status_0"	""	"Building a Dustbin"	"Building a Dustbin"
"card_trash_can_status_0"	""	"Getting rid of Card"	"Getting rid of Card"
"label_update_text_chaos"	"The # adds newlines to the text. Please keep them"	"Here's a new minor update! We've added a bunch of cards that will make life in the mid-game and late-game a lot more manageable.##There are cards that will help you with food management, resource management and even some cards you can use to set up some simple automation!##We've also fixed some bugs, as well as added quality of life fixes. Enjoy!"	"Here's a new minor update! We've added a bunch of cards that will make life in the mid-game and late-game a lot more manageable.##There are cards that will help you with food management, resource management and even some cards you can use to set up some simple automation!##We've also fixed some bugs, as well as added quality of life fixes. Enjoy!"
"label_update_title_chaos"	""	"Order & Structure"	"Order & Structure"
"label_menu_sub_title"	""	"Order & Structure"	"Order & Structure"
"card_breeding_pen_name"	""	"Breeding Pen"	"Breeding Pen"
"card_breeding_pen_description"	""	"A pen for breeding Animals"	"A pen for breeding Animals"
"idea_breedingpen_status_0"	""	"Building a Breeding Pen"	"Building a Breeding Pen"
"action_breeding_status"	""	"Breeding Animals"	"Breeding Animals"
"action_slaughtering_status"	""	"Butchering animal"	"Butchering animal"
"card_slaughter_house_name"	""	"Butchery"	"Butchery"
"card_slaughter_house_description"	""	"Sends animals on vacation"	"Sends animals on vacation"
"idea_slaughterhouse_status_0"	""	"Building a Butchery"	"Building a Butchery"
"card_wishing_well_name"	""	"Wishing Well"	"Wishing Well"
"card_wishing_well_description_long"	""	"<one>It gives you a wish for every [count] coins. You currently have [amount] wish<other>It gives you a wish for every [count] coins. You currently have [amount] wishes"	"<one>It gives you a wish for every [count] coins. You currently have [amount] wish<other>It gives you a wish for every [count] coins. You currently have [amount] wishes"
"card_wishing_well_wish_1"	""	"Aah! My first wish"	"Aah! My first wish"
"card_wishing_well_wish_2"	""	"I'm feeling lucky!"	"I'm feeling lucky!"
"card_wishing_well_wish_5"	""	"Oh happy days!"	"Oh happy days!"
"card_wishing_well_wish_10"	""	"I really hope this Wishing Well does something?"	"I really hope this Wishing Well does something?"
"card_wishing_well_wish_20"	""	"I sure am spending a lot of money on wishes"	"I sure am spending a lot of money on wishes"
"card_wishing_well_wish_50"	""	"This isn't going anywhere. I should stop buying wishes"	"This isn't going anywhere. I should stop buying wishes"
"idea_wishing_well_status_0"	""	"Building a Wishing Well"	"Building a Wishing Well"
"card_brickyard_status"	""	"Making a Brick"	"Making a Brick"
"card_sawmill_status"	""	"Making a Plank"	"Making a Plank"
"label_one_villager_needs_to_stay_island"	""	"At least one Villager needs to stay on the Island"	"At least one Villager needs to stay on the Island"
"label_screenshake_enabled"	""	"Screenshake enabled"	"Трясіння екрана увімкнено"
"card_university_status"	""	"Researching"	"Дослідження"
"card_university_description"	""	"A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them."	"A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them."
"card_wishing_well_description"	""	"It gives you a wish for every [count] coins."	"It gives you a wish for every [count] coins."
"label_clicktodrag_enabled"	""	"Easy dragging"	"Easy dragging"
"label_clicktodrag_tooltip"	""	"Allows you to drag cards with right click.#Right click once to start dragging and right click again to stop dragging."	"Allows you to drag cards with right click.#Right click once to start dragging and right click again to stop dragging."
